Student_ID,Gender,Department,Study_Group,Attendance_Range,Parental_Education,Internet_Access,Private_Tuition,Study_Hours_Daily,Math_Score,Science_Score,English_Score,Social_Score,Computer_Score,Total_Marks,Average_Score,Grade,Result,Academic_Year
STU0001,Male,Science,Group C,75-90%,High School,Yes,Yes,2.6,89,75,81,86,84,415,83.0,A,Pass,2024
STU0002,Male,Science,Group A,Above 90%,High School,No,No,1.7,63,62,69,69,77,340,68.0,B,Pass,2023
STU0003,Female,Science,Group C,75-90%,Post Graduate,No,Yes,7.2,64,66,63,61,72,326,65.2,B,Pass,2023
STU0004,Male,Management,Group A,Below 60%,High School,Yes,No,3.5,45,50,58,56,51,260,52.0,C,Pass,2024
STU0005,Male,Arts,Group B,60-75%,Post Graduate,Yes,Yes,6.4,57,40,40,40,34,211,42.2,D,Pass,2022
STU0006,Female,Science,Group C,Above 90%,,Yes,Yes,2.9,81,81,80,91,81,414,82.8,A,Pass,2022
STU0007,Female,Management,Group A,Above 90%,Post Graduate,No,No,2.1,71,61,71,73,68,344,68.8,B,Pass,2024
STU0008,Male,Technology,Group C,Above 90%,Graduate,No,No,5.5,67,66,60,62,66,321,64.2,C,Pass,2022
STU0009,Female,Arts,Group C,60-75%,Graduate,Yes,No,2.4,48,62,60,60,49,279,55.8,C,Pass,2023
STU0010,Male,Commerce,Group B,75-90%,Graduate,Yes,Yes,1.6,76,83,85,96,73,413,82.6,A,Pass,2023
STU0011,Male,Science,Group B,60-75%,Post Graduate,No,Yes,6.0,45,60,44,47,38,234,46.8,D,Pass,2023
STU0012,Female,Arts,Group A,Above 90%,High School,Yes,Yes,2.6,81,74,77,83,78,393,78.6,B,Pass,2022
STU0013,Male,Arts,Group C,60-75%,Graduate,No,Yes,2.3,81,64,68,73,59,345,69.0,B,Pass,2022
STU0014,Female,Technology,Group C,Above 90%,Graduate,No,Yes,2.3,61,77,71,69,65,343,68.6,B,Pass,2024
STU0015,Male,Technology,Group A,Above 90%,High School,No,No,4.8,67,73,60,77,74,351,70.2,B,Pass,2022
STU0016,Male,Science,Group A,60-75%,Graduate,No,No,6.5,51,61,61,49,70,292,58.4,C,Pass,2023
STU0017,Female,Technology,Group A,60-75%,High School,No,Yes,7.0,45,49,47,42,45,228,45.6,D,Pass,2022
STU0018,Male,Science,Group B,60-75%,High School,Yes,Yes,5.1,83,75,81,69,71,379,75.8,B,Pass,2024
STU0019,Female,Arts,Group B,60-75%,Post Graduate,No,Yes,4.2,53,46,52,48,46,245,49.0,D,Pass,2024
STU0020,Male,Science,Group B,60-75%,Post Graduate,No,Yes,5.3,61,67,72,75,61,336,67.2,B,Pass,2024
STU0021,Male,Management,Group B,75-90%,Post Graduate,Yes,,2.4,77,71,74,67,70,359,71.8,B,Pass,2024
STU0022,Female,Arts,Group B,75-90%,High School,Yes,No,5.9,73,83,82,75,77,390,78.0,B,Pass,2024
STU0023,Male,Science,Group B,Below 60%,Post Graduate,Yes,Yes,7.0,47,52,52,59,42,252,50.4,C,Pass,2023
STU0024,Male,Commerce,Group A,Below 60%,Graduate,No,Yes,3.3,50,67,52,73,63,305,61.0,C,Pass,2023
STU0025,Female,Commerce,Group A,60-75%,Post Graduate,Yes,No,2.6,55,61,53,54,68,291,58.2,C,Pass,2022
STU0026,Female,Commerce,Group B,75-90%,Graduate,Yes,No,7.8,55,67,59,63,58,302,60.4,C,Pass,2022
STU0027,Female,Management,Group C,Below 60%,High School,No,No,1.3,35,44,41,45,39,204,40.8,D,Pass,2023
STU0028,Male,Science,Group C,75-90%,Graduate,Yes,No,3.8,69,57,54,56,64,300,60.0,C,Pass,2023
STU0029,Male,Management,Group C,60-75%,Graduate,No,Yes,5.2,48,53,46,53,60,260,52.0,C,Pass,2023
STU0030,Female,Technology,Group C,Above 90%,Post Graduate,Yes,No,6.3,75,65,72,67,83,362,72.4,B,Pass,2024
STU0031,Male,Arts,Group A,60-75%,High School,Yes,Yes,6.0,73,74,68,80,68,363,72.6,B,Pass,2023
STU0032,Female,Technology,Group B,60-75%,High School,Yes,Yes,1.8,76,63,60,51,61,311,62.2,C,Pass,2022
STU0033,Female,Technology,Group A,Above 90%,Post Graduate,No,No,4.6,59,66,70,58,58,311,62.2,C,Pass,2024
STU0034,Female,Commerce,Group B,Above 90%,High School,No,Yes,2.5,77,69,67,63,68,344,68.8,B,Pass,2023
STU0035,Female,Technology,Group B,Above 90%,Graduate,Yes,Yes,4.3,76,70,69,76,64,355,71.0,B,Pass,2023
STU0036,Female,Arts,Group A,Above 90%,Post Graduate,Yes,No,6.9,77,63,75,74,61,350,70.0,B,Pass,2022
STU0037,Male,Management,Group C,Above 90%,Post Graduate,Yes,Yes,3.4,70,67,69,61,71,338,67.6,B,Pass,2023
STU0038,Female,Arts,Group C,75-90%,High School,No,Yes,6.3,28,29,40,36,26,159,31.8,D,Fail,2022
STU0039,Male,Commerce,Group C,60-75%,High School,Yes,No,7.7,79,65,70,63,75,352,70.4,B,Pass,2024
STU0040,Male,Science,Group C,75-90%,High School,Yes,No,5.4,42,48,60,65,60,275,55.0,C,Pass,2022
STU0041,Male,Arts,Group A,Below 60%,Graduate,No,No,5.4,32,39,25,46,42,184,36.8,D,Fail,2023
STU0042,Female,Commerce,Group B,60-75%,Post Graduate,No,No,7.2,41,36,47,39,35,198,39.6,D,Fail,2022
STU0043,Female,Technology,Group A,75-90%,High School,No,No,4.9,52,52,56,40,45,245,49.0,D,Pass,2024
STU0044,Male,Commerce,Group C,60-75%,Post Graduate,No,No,2.6,41,46,46,51,48,232,46.4,D,Pass,2024
STU0045,Female,Commerce,Group C,75-90%,Graduate,No,No,3.2,51,48,54,54,62,269,53.8,C,Pass,2024
STU0046,Male,Management,Group C,60-75%,High School,No,No,3.5,33,24,30,41,34,162,32.4,D,Fail,2023
STU0047,Male,Science,Group C,75-90%,High School,Yes,No,4.4,72,75,73,81,76,377,75.4,B,Pass,2023
STU0048,Male,Commerce,Group B,75-90%,Graduate,Yes,Yes,1.6,62,61,59,68,48,298,59.6,C,Pass,2022
STU0049,Female,Science,Group B,60-75%,Post Graduate,No,No,1.7,54,39,49,63,52,257,51.4,C,Pass,2022
STU0050,Female,Commerce,Group C,Below 60%,High School,Yes,Yes,5.9,53,45,55,52,57,262,52.4,C,Pass,2024
STU0051,Male,Technology,Group A,60-75%,Graduate,Yes,No,3.2,41,53,38,47,45,224,44.8,D,Pass,2024
STU0052,Female,Management,Group C,Above 90%,High School,No,No,6.1,64,55,60,49,54,282,56.4,C,Pass,2024
STU0053,Male,Arts,Group C,Below 60%,High School,Yes,No,5.1,60,49,59,61,56,285,57.0,C,Pass,2024
STU0054,Male,Technology,Group B,Above 90%,Graduate,No,No,6.7,49,54,66,55,73,297,59.4,C,Pass,2024
STU0055,Female,Science,Group A,Below 60%,Graduate,No,No,3.9,46,30,46,43,41,206,41.2,D,Pass,2022
STU0056,Female,Management,Group A,Above 90%,Post Graduate,No,Yes,5.4,77,71,84,72,74,378,75.6,B,Pass,2022
STU0057,Female,Commerce,Group A,Below 60%,Post Graduate,No,Yes,6.0,65,62,66,69,59,321,64.2,C,Pass,2024
STU0058,Female,Arts,Group C,Above 90%,Graduate,Yes,No,6.4,78,67,70,76,76,367,73.4,B,Pass,2023
STU0059,Female,Arts,Group A,Below 60%,Graduate,No,No,7.1,33,26,38,20,41,158,31.6,D,Fail,2024
STU0060,Female,Commerce,Group C,60-75%,Graduate,Yes,No,2.1,39,24,47,40,29,179,35.8,D,Fail,2022
STU0061,Female,Commerce,Group A,Below 60%,Graduate,Yes,No,3.4,37,41,41,25,46,190,38.0,D,Fail,2024
STU0062,Male,Technology,Group C,75-90%,Post Graduate,No,No,7.4,47,58,56,66,60,287,57.4,C,Pass,2022
STU0063,Female,Science,Group A,Below 60%,Post Graduate,Yes,No,2.0,26,49,41,37,44,197,39.4,D,Fail,2024
STU0064,Male,Technology,Group C,60-75%,High School,Yes,No,5.7,44,47,49,46,46,232,46.4,D,Pass,2023
STU0065,Male,Arts,Group C,Below 60%,Graduate,No,No,1.7,49,46,53,65,51,264,52.8,C,Pass,2023
STU0066,Female,Management,Group C,75-90%,Post Graduate,No,,6.2,67,74,60,82,65,348,69.6,B,Pass,2023
STU0067,Female,Commerce,Group C,60-75%,Post Graduate,Yes,No,1.3,45,54,53,63,60,275,55.0,C,Pass,2023
STU0068,Female,Science,Group C,60-75%,High School,No,No,2.9,47,48,35,39,50,219,43.8,D,Pass,2022
STU0069,Female,Arts,Group B,75-90%,Post Graduate,No,Yes,7.8,71,83,70,69,55,348,69.6,B,Pass,2024
STU0070,Male,Arts,Group B,Above 90%,High School,No,Yes,5.7,73,65,70,61,61,330,66.0,B,Pass,2023
STU0071,Female,Science,Group C,60-75%,Post Graduate,Yes,No,1.7,58,61,61,49,58,287,57.4,C,Pass,2024
STU0072,Female,Commerce,Group B,Above 90%,Graduate,No,Yes,2.5,57,55,58,64,75,309,61.8,C,Pass,2023
STU0073,Female,Commerce,Group A,Below 60%,Post Graduate,No,No,5.5,38,44,42,25,38,187,37.4,D,Fail,2024
STU0074,Male,Science,Group A,75-90%,High School,Yes,Yes,6.5,71,68,73,79,88,379,75.8,B,Pass,2024
STU0075,Female,Science,Group A,60-75%,High School,No,Yes,2.2,55,67,57,57,62,298,59.6,C,Pass,2022
STU0076,Female,Commerce,Group B,Below 60%,Post Graduate,Yes,No,6.5,39,52,50,48,46,235,47.0,D,Pass,2024
STU0077,Female,Management,Group B,Above 90%,Post Graduate,Yes,Yes,3.3,79,92,89,70,89,419,83.8,A,Pass,2022
STU0078,Male,Science,Group C,75-90%,Post Graduate,No,No,5.6,50,49,49,47,40,235,47.0,D,Pass,2024
